,id,question,desired_answer,student_answer,score_me,score_other,score_avg,student_amr
0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,4,3,3.5,"# ::snt High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.
(m / multi-sentence
      :snt1 (a / address-02
            :ARG0 (p / program
                  :mod (p2 / prototype))
            :ARG1 (p3 / problem
                  :mod (r / risk-01
                        :ARG1-of (h / high-02)))
            :purpose (e / ensure-01
                  :ARG0 p
                  :ARG1 (f / feasible
                        :domain (p4 / program))))
      :snt2 (p5 / possible-01
            :ARG1 (u / use-01
                  :ARG1 (p6 / prototype)
                  :ARG2 (s / show-01
                        :ARG0 p6
                        :ARG1 (p7 / possible-01
                              :ARG1 (p8 / program-01
                                    :ARG1 (s2 / software)))
                        :ARG2 (c / company))
                  :mod (a2 / also))))"
1,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5,5,5,"# ::snt To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.
(m / multi-sentence
      :snt1 (s / simulate-01
            :ARG1 (p / portion
                  :part-of (p2 / product
                        :mod (f / final)
                        :ARG1-of (d / desire-01)))
            :instrument (p3 / program
                  :ARG1-of (q / quick-02)
                  :ARG1-of (e / easy-05)
                  :ARG0-of (d2 / do-02
                        :ARG1 (j / job
                              :mod (s2 / small)
                              :ARG1-of (s3 / specific-02)))))
      :snt2 (w / way
            :manner-of (h / help-01
                  :ARG1 (s4 / see-01
                        :ARG1 (a / and
                              :op1 (p4 / problem)
                              :op2 (p5 / possible-01
                                    :ARG1 (s5 / solve-01
                                          :ARG0 (y / you)
                                          :ARG1 p4
                                          :location (p6 / project
                                                :mod f))))))))"
2,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5,3,4,"# ::snt A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.
(s / simulate-01
      :ARG0 (p / program
            :mod (p2 / prototype))
      :ARG1 (b / behave-01
            :ARG0 (p3 / portion
                  :part-of (p4 / product
                        :mod (s2 / software)
                        :ARG1-of (d / desire-01))))
      :purpose (a / allow-01
            :ARG0 p
            :ARG1 (c / check-01
                  :ARG1 (e / error))))"
3,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5,5,5,"# ::snt Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.
(m / multi-sentence
      :snt1 (s / stimulate-01
            :ARG0 (p / prototype)
            :ARG1 (b / behave-01
                  :ARG0 (p2 / portion
                        :part-of (p3 / product
                              :mod (s2 / software)
                              :ARG1-of (d / desire-01))))
            :ARG1-of (d2 / define-01
                  :time (p4 / phase
                        :mod (s3 / specific-02))))
      :snt2 (m2 / mean-01
            :ARG2 (s4 / solve-01
                  :ARG0 (p5 / prototype)
                  :ARG1 (r / role)
                  :duration (t / temporary)
                  :time (u / until
                        :op1 (r2 / refine-01
                              :ARG1 (p6 / program)
                              :purpose (u2 / use-01
                                    :ARG1 p6
                                    :ARG2 s4
                                    :ARG1 (p7 / problem))
                              :manner (e / extensive))))))"
4,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3,3,3,"# ::snt It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.
(m / multi-sentence
      :snt1 (u / use-01
            :ARG1 (ii / it)
            :ARG2 (a / and
                  :op1 (l / let-01
                        :ARG0 ii
                        :ARG1 (h / have-03
                              :ARG0 (p / person
                                    :ARG0-of (u2 / use-01))
                              :ARG1 (ii2 / idea
                                    :topic (p2 / program
                                          :ARG1-of (c / complete-01))
                                    :ord (o / ordinal-entity
                                          :value 1))))
                  :op2 (a2 / allow-01
                        :ARG0 ii
                        :ARG1 (e / evaluate-01
                              :ARG0 (c2 / client)
                              :ARG1 (p3 / program)))))
      :snt2 (p4 / possible-01
            :ARG1 (g / generate-01
                  :ARG0 (t / this)
                  :ARG1 (f / feedback
                        :quant (m2 / much)
                        :ARG2-of (ii3 / include-01
                              :ARG1 (a3 / and
                                    :op1 (s / specification
                                          :mod (s2 / software))
                                    :op2 (e2 / estimate-01
                                          :ARG1 (p5 / project
                                                :mod (t2 / total)))))))))"
5,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To find problem and errors in a program before it is finalized,2,2,2,"# ::snt To find problem and errors in a program before it is finalized
(f / find-01
      :ARG1 (a / and
            :op1 (p / problem)
            :op2 (e / err-01))
      :location (p2 / program)
      :time (b / before
            :op1 (f2 / finalize-01
                  :ARG1 p2)))"
6,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",3,2,2.5,"# ::snt To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. 
(m / multi-sentence
      :snt1 (a / address-02
            :ARG1 (ii / issue-02
                  :ARG1-of (m2 / major-02)
                  :topic (c / create-01
                        :ARG1 (p / program))))
      :snt2 (c2 / contrast-01
            :ARG1 (w / way
                  :polarity -
                  :manner-of (a2 / account-01
                        :ARG1 (b / bug
                              :mod (a3 / all)
                              :ARG1-of (p2 / possible-01)
                              :location (p3 / program))))
            :ARG2 (p4 / possible-01
                  :ARG1 (p5 / prove-01
                        :ARG1 (t / tangible
                              :domain p3)))))"
7,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,5,5,5,"# ::snt you can break the whole program into prototype programs to simulate parts of the final program
(p / possible-01
      :ARG1 (b / break-01
            :ARG0 (y / you)
            :ARG1 (p2 / program
                  :mod (w / whole))
            :ARG2 (p3 / program
                  :mod (p4 / prototype))
            :purpose (s / simulate-01
                  :ARG0 y
                  :ARG1 (p5 / part
                        :part-of (p6 / program
                              :mod (f / final))))))"
8,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,#NAME?,5,2,3.5,"# ::snt #NAME?
(n / name
      :polarity (a / amr-unknown))"
9,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.,5,5,5,"# ::snt Simulating the behavior of only a portion of the desired software product.
(s / simulate-01
      :ARG1 (b / behave-01
            :ARG0 (p / portion
                  :mod (o / only)
                  :part-of (p2 / product
                        :mod (s2 / software)
                        :ARG1-of (d / desire-01)))))"
